exp,run,run_dir,model,edge_feat_mode,checkpoint,train_root,val_root,train_data_group,primary_eval_file,primary_eval_profile,epochs_run,train_loss_first,train_loss_last,train_loss_delta,val_loss_best,val_loss_last,val_loss_best_epoch,total_epoch_seconds,eval_tsplib_baseline_exists,eval_tsplib_baseline_rows,eval_tsplib_baseline_gap_mean,eval_tsplib_baseline_gap_median,eval_tsplib_baseline_gap_p90,eval_tsplib_baseline_gap_std,eval_tsplib_baseline_gap_min,eval_tsplib_baseline_gap_max
exp_edge_mlp_h128_d2,20260210-175745,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h128_d2\20260210-175745,edge_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h128_d2\20260210-175745\best.pt,runs/data/synthetic/train,runs/data/synthetic/val,synthetic_heuristic,eval_tsplib_baseline.json,baseline,7,0.014526,0.012943,-0.001583000000000001,0.012523,0.012574,5,674.644,True,14,11.602265360697384,10.41734801026259,20.65557603983589,5.8604336152316465,2.629582806573957,22.516680763086175
exp_edge_mlp_h128_d2_ccv1,20260210-185558,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h128_d2_ccv1\20260210-185558,edge_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h128_d2_ccv1\20260210-185558\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_baseline.json,baseline,7,0.01381,0.012111,-0.0016989999999999991,0.011701,0.011736,5,1026.564,True,14,12.33923149366525,12.143178864821575,19.322867221036372,5.5521266161865634,3.8685208596713023,25.38295273000658
exp_edge_mlp_h256_d2,20260210-171914,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d2\20260210-171914,edge_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d2\20260210-171914\best.pt,runs/data/synthetic/train,runs/data/synthetic/val,synthetic_heuristic,eval_tsplib_baseline.json,baseline,6,0.014122,0.012911,-0.0012109999999999985,0.012537,0.012579,4,183.446,True,14,13.120013297661606,12.529214178378856,22.249325306193278,5.895984140160847,5.204460966542751,24.869601502190694
exp_edge_mlp_h256_d2_ccv1,20260210-191744,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d2_ccv1\20260210-191744,edge_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d2_ccv1\20260210-191744\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_baseline.json,baseline,6,0.013381,0.012068,-0.001313,0.011698,0.011809,4,348.238,True,14,12.328360965010045,10.921426089100551,22.48367742273356,6.561161212703044,2.199747155499368,25.66957992669862
exp_edge_mlp_h256_d3,20260210-175524,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d3\20260210-175524,edge_mlp_deep,,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d3\20260210-175524\best.pt,runs/data/synthetic/train,runs/data/synthetic/val,synthetic_heuristic,eval_tsplib_baseline.json,baseline,9,0.014387,0.012775,-0.0016120000000000006,0.012293,0.012339,7,248.463,True,14,12.089906135652553,10.078620471553634,18.605469877858667,6.488372388087511,2.3474178403755865,27.069824264636782
exp_edge_mlp_h256_d3_ccv1,20260210-195752,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d3_ccv1\20260210-195752,edge_mlp_deep,,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d3_ccv1\20260210-195752\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_baseline.json,baseline,9,0.013621,0.011931,-0.0016899999999999988,0.011461,0.011463,7,248.674,True,14,11.368189682535712,10.747388323718022,17.67789488163216,4.580164592337713,4.592592592592593,18.58377971995113
exp_edge_res_h128_d4,20260210-180915,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h128_d4\20260210-180915,edge_res_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h128_d4\20260210-180915\best.pt,runs/data/synthetic/train,runs/data/synthetic/val,synthetic_heuristic,eval_tsplib_baseline.json,baseline,10,0.013907,0.012626,-0.0012809999999999992,0.012134,0.012175,9,2789.275,True,14,12.379810937661734,10.251117858424236,18.281155624860453,8.117406652814527,4.4609665427509295,37.415675638083314
exp_edge_res_h128_d4_ccv1,20260210-191322,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h128_d4_ccv1\20260210-191322,edge_res_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h128_d4_ccv1\20260210-191322\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_baseline.json,baseline,9,0.013105,0.011778,-0.001327,0.011285,0.01129,7,2594.934,True,14,13.248017221741263,10.553494303151588,24.183354062889077,7.26097245760791,4.225352112676056,30.447179915154045
exp_edge_res_h256_d4,20260210-183210,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h256_d4\20260210-183210,edge_res_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h256_d4\20260210-183210\best.pt,runs/data/synthetic/train,runs/data/synthetic/val,synthetic_heuristic,eval_tsplib_baseline.json,baseline,9,0.013789,0.012595,-0.0011939999999999989,0.01213,0.012143,7,831.673,True,14,13.370566208434946,12.990672618769864,19.01071829356668,5.513971231797045,3.755868544600939,26.393196128183444
exp_edge_res_h256_d4_ccv1,20260210-203342,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h256_d4_ccv1\20260210-203342,edge_res_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h256_d4_ccv1\20260210-203342\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_baseline.json,baseline,9,0.012969,0.011716,-0.001252999999999999,0.011259,0.011283,7,832.767,True,14,13.605487173529559,12.453199306594211,22.594687584174668,6.853369182028529,3.9906103286384975,28.219216680755142
exp_edge_tf_h128_d3_ccv1,20260211-210533,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h128_d3_ccv1\20260211-210533,edge_transformer,full,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h128_d3_ccv1\20260211-210533\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_baseline.json,baseline,4,0.010401,0.006694,-0.0037070000000000002,0.00698,0.01495,2,1398.3,True,14,9.491544365154125,8.528864420887912,14.909812031466103,4.275178145123031,3.5211267605633805,16.178266178266178
exp_edge_tf_h128_d3_relv2_ms_ccv1,20260212-183537,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h128_d3_relv2_ms_ccv1\20260212-183537,edge_transformer,relative_sincos_v2,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h128_d3_relv2_ms_ccv1\20260212-183537\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_baseline.json,baseline,4,0.010381,0.006693,-0.0036879999999999994,0.00702,0.014832,2,1500.983,True,14,10.131209796217627,10.956567033300427,15.00457897503268,4.457677739972492,1.753885640952517,15.99113210275194
exp_edge_tf_h192_d4_relsc_ccv1,20260211-215800,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h192_d4_relsc_ccv1\20260211-215800,edge_transformer,relative_sincos,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h192_d4_relsc_ccv1\20260211-215800\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_baseline.json,baseline,5,0.009697,0.005625,-0.004072000000000001,0.006082,0.007672,3,2497.371,True,14,12.127576445683157,12.30416573605294,20.68613061932251,6.789118220139526,1.643192488262911,25.16671362825209
exp_edge_tf_h256_d4_ccv1,20260211-212905,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d4_ccv1\20260211-212905,edge_transformer,full,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d4_ccv1\20260211-212905\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_baseline.json,baseline,4,0.009886,0.005708,-0.004178,0.006533,0.011031,2,1722.2820000000002,True,14,11.41968709261188,9.14974301132192,19.21145084054687,6.2353631760834825,2.8169014084507045,23.63499671083545
exp_edge_tf_h256_d4_relv2_ms_ccv1,20260212-190122,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d4_relv2_ms_ccv1\20260212-190122,edge_transformer,relative_sincos_v2,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d4_relv2_ms_ccv1\20260212-190122\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_baseline.json,baseline,4,0.009785,0.005711,-0.004074,0.006231,0.012497,2,1859.372,True,14,12.262281460037395,11.737319021795166,22.863397848354257,8.469875984998643,1.1851851851851851,31.261159665444975
exp_edge_tf_h256_d5_relsc_ccv1,20260211-223953,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d5_relsc_ccv1\20260211-223953,edge_transformer,relative_sincos,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d5_relsc_ccv1\20260211-223953\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_baseline.json,baseline,4,0.009424,0.005713,-0.003711,0.006852,0.010059,2,2448.828,True,14,11.679696497069989,13.186782168219722,18.504967007552047,6.0833581941327735,0.9389671361502347,21.711889729625526
exp_edge_tf_h256_d5_relv2_ms_ccv1,20260212-193311,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d5_relv2_ms_ccv1\20260212-193311,edge_transformer,relative_sincos_v2,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d5_relv2_ms_ccv1\20260212-193311\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_baseline.json,baseline,3,0.009311,0.005992,-0.003319,0.008479,0.012237,1,1657.1870000000001,True,14,11.120578342483274,10.755678859993811,18.805632748722832,6.751548338180506,0.7042253521126761,26.750305422422706
exp_edge_tf_h320_d3_relsc_ccv1,20260211-232057,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h320_d3_relsc_ccv1\20260211-232057,edge_transformer,relative_sincos,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h320_d3_relsc_ccv1\20260211-232057\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_baseline.json,baseline,4,0.009987,0.006123,-0.0038639999999999994,0.007392,0.014352,2,1429.79,True,14,11.999254989580166,12.813161926086202,18.360236294521478,5.017676437930571,3.324905183312263,21.536583075044614
