exp,run,run_dir,model,edge_feat_mode,checkpoint,train_root,val_root,train_data_group,primary_eval_file,primary_eval_profile,epochs_run,train_loss_first,train_loss_last,train_loss_delta,val_loss_best,val_loss_last,val_loss_best_epoch,total_epoch_seconds,eval_tsplib_optimized_exists,eval_tsplib_optimized_rows,eval_tsplib_optimized_gap_mean,eval_tsplib_optimized_gap_median,eval_tsplib_optimized_gap_p90,eval_tsplib_optimized_gap_std,eval_tsplib_optimized_gap_min,eval_tsplib_optimized_gap_max
exp_edge_mlp_h128_d2,20260210-175745,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h128_d2\20260210-175745,edge_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h128_d2\20260210-175745\best.pt,runs/data/synthetic/train,runs/data/synthetic/val,synthetic_heuristic,eval_tsplib_optimized.json,optimized,7,0.014526,0.012943,-0.001583000000000001,0.012523,0.012574,5,674.644,True,14,9.492948625604924,7.739416988130243,18.412265145700356,6.057842840198296,2.3135271807838182,20.98959076001711
exp_edge_mlp_h128_d2_ccv1,20260210-185558,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h128_d2_ccv1\20260210-185558,edge_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h128_d2_ccv1\20260210-185558\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_optimized.json,optimized,7,0.01381,0.012111,-0.0016989999999999991,0.011701,0.011736,5,1026.564,True,14,9.12287341520661,8.159993806225186,16.321222177996848,5.290847378671196,2.8065739570164348,19.876208359413035
exp_edge_mlp_h256_d2,20260210-171914,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d2\20260210-171914,edge_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d2\20260210-171914\best.pt,runs/data/synthetic/train,runs/data/synthetic/val,synthetic_heuristic,eval_tsplib_optimized.json,optimized,6,0.014122,0.012911,-0.0012109999999999985,0.012537,0.012579,4,183.446,True,14,10.094564277413562,7.362839736946187,19.58135181788737,5.81050111878073,4.7407407407407405,22.553724181097433
exp_edge_mlp_h256_d2_ccv1,20260210-191744,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d2_ccv1\20260210-191744,edge_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d2_ccv1\20260210-191744\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_optimized.json,optimized,6,0.013381,0.012068,-0.001313,0.011698,0.011809,4,348.238,True,14,9.647287208318078,7.750591696715229,20.07754578461982,6.3615467868926645,2.1871049304677626,22.553724181097433
exp_edge_mlp_h256_d3,20260210-175524,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d3\20260210-175524,edge_mlp_deep,,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d3\20260210-175524\best.pt,runs/data/synthetic/train,runs/data/synthetic/val,synthetic_heuristic,eval_tsplib_optimized.json,optimized,9,0.014387,0.012775,-0.0016120000000000006,0.012293,0.012339,7,248.463,True,14,9.794050726694374,9.548001909357408,17.67789488163216,5.560601615315473,2.2222222222222223,19.561131472605958
exp_edge_mlp_h256_d3_ccv1,20260210-195752,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d3_ccv1\20260210-195752,edge_mlp_deep,,C:\Users\ralex\TSP\runs\experiments\exp_edge_mlp_h256_d3_ccv1\20260210-195752\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_optimized.json,optimized,9,0.013621,0.011931,-0.0016899999999999988,0.011461,0.011463,7,248.674,True,14,8.557400898358305,7.546970989147433,15.714529554767454,4.77510978051695,2.1618204804045513,17.874325703455316
exp_edge_res_h128_d4,20260210-180915,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h128_d4\20260210-180915,edge_res_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h128_d4\20260210-180915\best.pt,runs/data/synthetic/train,runs/data/synthetic/val,synthetic_heuristic,eval_tsplib_optimized.json,optimized,10,0.013907,0.012626,-0.0012809999999999992,0.012134,0.012175,9,2789.275,True,14,8.9701730891842,5.918570377466692,17.92647223430146,5.639246808492917,2.2713687985654514,19.834480840114054
exp_edge_res_h128_d4_ccv1,20260210-191322,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h128_d4_ccv1\20260210-191322,edge_res_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h128_d4_ccv1\20260210-191322\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_optimized.json,optimized,9,0.013105,0.011778,-0.001327,0.011285,0.01129,7,2594.934,True,14,10.735186631788128,8.24998888312657,22.88773890127866,7.894733222861075,2.666666666666667,26.130062964007145
exp_edge_res_h256_d4,20260210-183210,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h256_d4\20260210-183210,edge_res_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h256_d4\20260210-183210\best.pt,runs/data/synthetic/train,runs/data/synthetic/val,synthetic_heuristic,eval_tsplib_optimized.json,optimized,9,0.013789,0.012595,-0.0011939999999999989,0.01213,0.012143,7,831.673,True,14,9.36383089769767,6.699656643983285,20.113118288949178,7.189743614326866,1.8855621366081616,24.866084014660274
exp_edge_res_h256_d4_ccv1,20260210-203342,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h256_d4_ccv1\20260210-203342,edge_res_mlp,,C:\Users\ralex\TSP\runs\experiments\exp_edge_res_h256_d4_ccv1\20260210-203342\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_optimized.json,optimized,9,0.012969,0.011716,-0.001252999999999999,0.011259,0.011283,7,832.767,True,14,9.808621025301104,8.177861980523891,19.240776001668788,5.923678024565586,2.074074074074074,20.98959076001711
exp_edge_tf_h128_d3_ccv1,20260211-210533,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h128_d3_ccv1\20260211-210533,edge_transformer,full,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h128_d3_ccv1\20260211-210533\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_optimized.json,optimized,4,0.010401,0.006694,-0.0037070000000000002,0.00698,0.01495,2,1398.3,True,14,7.59164999250548,6.480264082033994,12.853976550874272,3.552233934620989,3.5211267605633805,14.077786881295484
exp_edge_tf_h128_d3_relv2_ms_ccv1,20260212-183537,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h128_d3_relv2_ms_ccv1\20260212-183537,edge_transformer,relative_sincos_v2,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h128_d3_relv2_ms_ccv1\20260212-183537\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_optimized.json,optimized,4,0.010381,0.006693,-0.0036879999999999994,0.00702,0.014832,2,1500.983,True,14,8.357689312700483,9.146156553313274,13.03876758751036,3.6888234402593016,1.753885640952517,13.777518588715557
exp_edge_tf_h192_d4_relsc_ccv1,20260211-215800,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h192_d4_relsc_ccv1\20260211-215800,edge_transformer,relative_sincos,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h192_d4_relsc_ccv1\20260211-215800\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_optimized.json,optimized,5,0.009697,0.005625,-0.004072000000000001,0.006082,0.007672,3,2497.371,True,14,9.149663002588511,10.304336008896936,14.777105669330242,4.659420552237156,1.643192488262911,16.301550872800615
exp_edge_tf_h256_d4_ccv1,20260211-212905,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d4_ccv1\20260211-212905,edge_transformer,full,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d4_ccv1\20260211-212905\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_optimized.json,optimized,4,0.009886,0.005708,-0.004178,0.006533,0.011031,2,1722.2820000000002,True,14,8.794524194668986,6.592280187837375,17.29501415301172,6.105639606917277,1.6308470290771178,19.465887752973085
exp_edge_tf_h256_d4_relv2_ms_ccv1,20260212-190122,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d4_relv2_ms_ccv1\20260212-190122,edge_transformer,relative_sincos_v2,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d4_relv2_ms_ccv1\20260212-190122\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_optimized.json,optimized,4,0.009785,0.005711,-0.004074,0.006231,0.012497,2,1859.372,True,14,10.28028545959879,9.82795554529561,20.282367585956347,6.755029692786527,1.1851851851851851,20.98959076001711
exp_edge_tf_h256_d5_relsc_ccv1,20260211-223953,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d5_relsc_ccv1\20260211-223953,edge_transformer,relative_sincos,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d5_relsc_ccv1\20260211-223953\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_optimized.json,optimized,4,0.009424,0.005713,-0.003711,0.006852,0.010059,2,2448.828,True,14,9.593674429801462,9.585555534298656,16.999082228528938,5.1053031203841925,0.9389671361502347,17.874325703455316
exp_edge_tf_h256_d5_relv2_ms_ccv1,20260212-193311,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d5_relv2_ms_ccv1\20260212-193311,edge_transformer,relative_sincos_v2,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h256_d5_relv2_ms_ccv1\20260212-193311\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_optimized.json,optimized,3,0.009311,0.005992,-0.003319,0.008479,0.012237,1,1657.1870000000001,True,14,9.001778871284529,6.56294693717377,17.277655313171856,5.7490602461812035,0.7042253521126761,21.107038812141717
exp_edge_tf_h320_d3_relsc_ccv1,20260211-232057,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h320_d3_relsc_ccv1\20260211-232057,edge_transformer,relative_sincos,C:\Users\ralex\TSP\runs\experiments\exp_edge_tf_h320_d3_relsc_ccv1\20260211-232057\best.pt,runs/data/synthetic_concorde_v1/train,runs/data/synthetic_concorde_v1/val,synthetic_concorde_exact,eval_tsplib_optimized.json,optimized,4,0.009987,0.006123,-0.0038639999999999994,0.007392,0.014352,2,1429.79,True,14,9.252528272959053,10.648800964293676,13.701212546919047,4.686356962551344,2.7881040892193307,17.73419570206551
